,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
37,Eastchester,40.88755568,-73.82780645,Imperial beverage center,4dd8039c1838b8561cf60dec,40.889146992600836,-73.82929692582755,Food & Drink Shop
38,Eastchester,40.88755568,-73.82780645,MTA Bus - BX 16,4e1638e145ddc623eb07573a,40.88790343813609,-73.83125388185631,Bus Station
39,Eastchester,40.88755568,-73.82780645,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",4ed4c718a17c52bf7f34bd97,40.88800860085501,-73.83133279875986,Bus Station
40,Eastchester,40.88755568,-73.82780645,Sunshine Supermarket,4dd85362e4cd37c893c2e3e4,40.888888,-73.831019,Deli / Bodega
41,Eastchester,40.88755568,-73.82780645,Adil Newsstand & Grocery,4deaefa688774880e32afe64,40.888433208510854,-73.83127682668768,Convenience Store
42,Eastchester,40.88755568,-73.82780645,MTA Bus & Bee Line Bx16/W52 @ Dyre Avenue and Light Street,5457c10b498e20309157ee87,40.88816692651784,-73.83152504085197,Bus Stop
43,Eastchester,40.88755568,-73.82780645,Secor Deli,5c0ad92732b61d002bf596c9,40.884593,-73.831049,Deli / Bodega
44,Eastchester,40.88755568,-73.82780645,Dome Groomer's,4c11243a6b7e2d7faec42835,40.884440701933244,-73.83205345211809,Cosmetics Shop
45,Fieldston,40.89543743,-73.9056426,Fieldston Road Circle,4e4be809c65b851d5ecbfccf,40.89448851736085,-73.90562087134356,Plaza
46,Fieldston,40.89543743,-73.9056426,Riverside Drive,5065d202e4b0de8be83dc0a3,40.896507486527454,-73.90826091791374,River
47,Fieldston,40.89543743,-73.9056426,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,4e763197814ddff25ef75d0b,40.89354823043404,-73.90815138816833,Bus Station
48,Fieldston,40.89543743,-73.9056426,Uptown Coffeehouse,4bddf2af0ee3a593dc4b2fb0,40.892331,-73.905058,Music Venue
49,Riverdale,40.89083449,-73.91258546,Riverdale Ave,4c268383136d20a15a83e561,40.890424929507866,-73.91024841803598,Plaza
50,Riverdale,40.89083449,-73.91258546,Bell Tower Park,4e5d1a53b0fbc0acda3c5b8a,40.88917798960079,-73.90833081276627,Park
51,Riverdale,40.89083449,-73.91258546,Chase Bank,4bf9ecdd5efe2d7fb20b6d34,40.888089,-73.907921,Bank
52,Riverdale,40.89083449,-73.91258546,Seton Park,4bd784e2885595217acd87a7,40.88791393116787,-73.91611321473175,Park
53,Riverdale,40.89083449,-73.91258546,9A North,53a46a79498ecf309cf13c32,40.89052927739073,-73.91054122436492,Moving Target
54,Riverdale,40.89083449,-73.91258546,JHS Riverdale Baseball Field,4bd75d5488559521365d87a7,40.88776539164418,-73.91503930091858,Baseball Field
55,Riverdale,40.89083449,-73.91258546,Park Lunch,4dd313bc813091d61fba0036,40.887052545514,-73.91315349663765,Food Truck
56,Riverdale,40.89083449,-73.91258546,Shallash Pest Control,577dc4be498e0cae8de28910,40.89466945869686,-73.91321539878845,Home Service
57,Riverdale,40.89083449,-73.91258546,Hayden On Hudson Gym,4ce716cd0f196dcb7fe43bae,40.889593,-73.917446,Gym
58,Riverdale,40.89083449,-73.91258546,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,4e763197814ddff25ef75d0b,40.89354823043404,-73.90815138816833,Bus Station
59,Kingsbridge,40.88168737,-73.90281799,Garden Gourmet Market,4af8b2c0f964a520460f22e3,40.88135023917183,-73.90338943716417,Gourmet Shop
60,Kingsbridge,40.88168737,-73.90281799,Leche y Miel,55297008498e9286460da191,40.883742,-73.90185699999999,Latin American Restaurant
61,Kingsbridge,40.88168737,-73.90281799,Kingsbridge Social Club,58935fd798f8aa7c14662653,40.884581,-73.901999,Pizza Place
62,Kingsbridge,40.88168737,-73.90281799,Sam's Pizza,4bb114c4f964a520b9783ce3,40.87943501792795,-73.90585879861192,Pizza Place
63,Kingsbridge,40.88168737,-73.90281799,El Malecon,4bd8e98811dcc928f865f833,40.87933806746814,-73.90445707056641,Caribbean Restaurant
64,Kingsbridge,40.88168737,-73.90281799,Bronx Alehouse,4acec156f964a520d3d120e3,40.8846317,-73.899705,Beer Bar
65,Kingsbridge,40.88168737,-73.90281799,BJ's  Wholesale Club,56310a2c498e97016b257476,40.88410355664641,-73.90026731218994,Warehouse Store
66,Kingsbridge,40.88168737,-73.90281799,Estrellita Poblana V,5217dd2811d2d06ccafb77d3,40.879687039717524,-73.906256832975,Mexican Restaurant
67,Kingsbridge,40.88168737,-73.90281799,Smashburger,55568a71498e3524400a356e,40.8842208517097,-73.90033254824955,Burger Joint
68,Kingsbridge,40.88168737,-73.90281799,The Bronx Public,59b17fe23b4e0043787e1a7c,40.87837659295958,-73.90348117090952,Pub
69,Kingsbridge,40.88168737,-73.90281799,Carvel Ice Cream,4bdc88c92a3a0f47144ab3b6,40.883657145742866,-73.90165452034793,Ice Cream Shop
70,Kingsbridge,40.88168737,-73.90281799,Mon Amour Coffee & Wine,5660c06b498e4003dba169a5,40.88500863418534,-73.90033222698838,Coffee Shop
71,Kingsbridge,40.88168737,-73.90281799,El Economico Restaurant,4ca785a597c8a1cd7e577ba5,40.87933018698782,-73.90459710835415,Spanish Restaurant
72,Kingsbridge,40.88168737,-73.90281799,MyUnique,4b6b4bf7f964a520f1fe2be3,40.88196572342435,-73.90358396335206,Thrift / Vintage Store
73,Kingsbridge,40.88168737,-73.90281799,Tilila,558b30d0498e2fb129a2a42b,40.88387242577101,-73.89820853750416,Bar
74,Kingsbridge,40.88168737,-73.90281799,Buffalo Wild Wings,51d2ee9b5a2347d14627b779,40.88446010603608,-73.90042394399643,Wings Joint
