,Neighborhood,Latitude,Longitude,TotalCrimes,ViolentCrimes,PropertyCrimes
110,Le Droit Park,38.9168316,-77.01760455,593,94,499
111,Howard University,38.92235482,-77.01961027,326,30,296
112,Near Northeast,38.90237479,-76.99973389,571,48,523
113,Stanton Park,38.89489782,-76.99424171,285,27,258
114,Kingman Park,38.89488657,-76.97843658,250,51,199
115,Hill East,38.88333,-76.97995066,150,22,128
116,Navy Yard,38.87426841,-76.99846165,137,8,129
117,Mayfair,38.90111564,-76.95129459,215,59,156
118,River Terrace,38.89370455,-76.95768066,115,25,90
119,Burrville,38.90024299,-76.92180247,245,51,194
120,NE Boundary,38.89545082,-76.91738943,139,39,100
121,Benning,38.8918849,-76.94888362,307,55,252
122,Grant Park,38.8927065,-76.92063844,128,35,93
123,Central NE,38.89703455,-76.94227676,201,33,168
124,Lincoln Heights,38.89580517,-76.93109656,190,65,125
125,Capitol View,38.88997845,-76.92708591,166,54,112
126,Marshall Heights,38.88437194,-76.92912172,212,63,149
127,Fort Davis Park,38.86890119,-76.94466984,100,18,82
128,Fairfax Village,38.86345267,-76.95163007,161,15,146
129,Hillcrest,38.86179449,-76.96068825,198,13,185
130,Crestwood,38.94332711,-77.04109689,61,2,59
131,Mount Vernon Square,38.90433981,-77.02331348,825,58,767
