,Neighborhood,Total Venues,E-scores,Borough,Latitude,Longitude,TotalCrimes,KM Cluster Labels,DBSCAN_Labels
207,Ozone Park,36,3.299427030911561,Queens,40.68070847,-73.84320266,832,1,-1
208,Paerdegat Basin,6,1.7917594692280547,Brooklyn,40.63131755,-73.90233474,86,1,0
209,Park Hill,8,1.7328679513998633,Staten Island,40.60919044,-74.08015735,62,1,0
210,Park Slope,62,3.601465537953222,Brooklyn,40.67232052,-73.9770503,59,1,0
211,Parkchester,30,2.9678674685340356,Bronx,40.83793782,-73.85600311,442,0,0
212,Pelham Bay,37,3.2970367495976403,Bronx,40.85064141,-73.83207378,65,1,0
213,Pelham Gardens,21,2.846480386134867,Bronx,40.86296562,-73.84161195,74,0,0
214,Pelham Parkway,26,3.044820482464577,Bronx,40.8574135,-73.85475564,71,0,0
215,Pleasant Plains,17,2.6701198898068172,Staten Island,40.52469938,-74.21983107,14,0,0
216,Pomonok,8,2.0794415416798357,Queens,40.73493618,-73.8048612,96,0,0
217,Port Ivory,1,0.0,Staten Island,40.63968298,-74.17464533,53,4,2
218,Port Morris,15,2.5232109529528914,Bronx,40.80166363,-73.91322139,159,1,0
219,Port Richmond,8,1.9061547465398496,Staten Island,40.63366931,-74.12943427,94,0,0
220,Prince's Bay,10,2.1639556568820564,Staten Island,40.52626407,-74.20152556,24,0,0
221,Prospect Heights,78,3.762256447247032,Brooklyn,40.67682226,-73.96485924,314,1,0
222,Prospect Lefferts Gardens,48,3.318637616502649,Brooklyn,40.65842002,-73.95489867,291,1,0
223,Prospect Park South,46,3.2105417130904823,Brooklyn,40.6470086,-73.96261317,517,1,-1
224,Queens Village,16,2.599301927099795,Queens,40.71889309,-73.73871485,77,1,0
225,Queensboro Hill,24,2.867440499124446,Queens,40.74457231,-73.82580915,72,0,0
226,Queensbridge,17,2.6393405872324323,Queens,40.7560913,-73.94563070000002,334,1,0
227,Randall Manor,3,0.6931471805599453,Staten Island,40.63563001,-74.09805062,21,3,0
228,Ravenswood,25,3.1634240504234032,Queens,40.76170453,-73.93157506,231,1,0
229,Red Hook,50,3.3088494480072095,Brooklyn,40.67625323,-74.01275897,180,1,0
230,Rego Park,45,3.2773363635868993,Queens,40.72897409,-73.85782687,92,1,0
231,Remsen Village,19,2.6980110198441127,Brooklyn,40.65211745,-73.91665332,222,1,0
232,Richmond Hill,23,2.8943995444300383,Queens,40.69794731,-73.83183321,964,1,-1
233,Richmond Town,4,1.3862943611198906,Staten Island,40.56960594,-74.1340573,2,1,0
234,Richmond Valley,11,2.3978952727983707,Staten Island,40.51954146,-74.22957081,16,1,0
235,Ridgewood,36,3.2369453481761377,Queens,40.70832316,-73.90143518,141,1,0
236,Riverdale,10,2.1639556568820564,Bronx,40.89083449,-73.91258546,9,1,0
237,Rochdale,15,2.5232109529528914,Queens,40.6752114,-73.77258788,156,1,0
238,Rockaway Beach,48,3.253796224922846,Queens,40.58280170000001,-73.82236121,94,1,0
239,Rockaway Park,27,2.794979623870695,Queens,40.58034296,-73.8415337,67,1,0
240,Roosevelt Island,23,2.992196960885483,Manhattan,40.76215961,-73.94916769,22,1,0
241,Rosebank,30,3.2625679455501655,Staten Island,40.61530495,-74.06980527,79,1,0
242,Rosedale,15,2.615630577027551,Queens,40.65981643,-73.73526079,48,1,0
243,Rossville,14,2.1682234916146403,Staten Island,40.54940401,-74.21572851,34,0,0
244,Roxbury,7,1.7917594692280547,Queens,40.56737589,-73.8921376,2,1,0
245,Rugby,18,2.582306344313967,Brooklyn,40.65557231,-73.92688213,369,1,0
246,Sandy Ground,4,1.0397207708399179,Staten Island,40.54113992,-74.21776636,17,1,0
247,Schuylerville,18,2.5052899909184174,Bronx,40.82657952,-73.82620276,882,0,-1
248,Sea Gate,6,1.7917594692280547,Brooklyn,40.57637538,-74.00787311,74,1,0
249,Sheepshead Bay,26,3.0045706252519193,Brooklyn,40.58689013,-73.9431864,59,1,0
250,Shore Acres,26,2.771169641088684,Staten Island,40.60971934,-74.06667766,34,1,0
251,Silver Lake,4,1.3862943611198906,Staten Island,40.61919311,-74.09629029,10,1,0
252,Soho,100,3.713759629430795,Manhattan,40.72218384,-74.00065667,1149,1,-1
253,Somerville,1,0.0,Queens,40.59771062,-73.79664751,137,3,2
254,Soundview,16,2.5665989181145106,Bronx,40.82101220000001,-73.8657461,1239,0,-1
255,South Beach,6,1.5607104090414063,Staten Island,40.58024741,-74.07955293,18,1,0
256,South Jamaica,11,2.1458417525947544,Queens,40.69691125,-73.79042613,322,1,0
257,South Ozone Park,13,2.0578975319224093,Queens,40.66854958,-73.80986479,58,1,0
258,South Side,100,3.9307364200953785,Brooklyn,40.71086147,-73.95800095,431,1,1
259,Springfield Gardens,15,2.5232109529528914,Queens,40.66623049,-73.76042093,86,1,0
260,Spuyten Duyvil,11,2.3978952727983707,Bronx,40.88139498,-73.91719048,20,0,0
261,St. Albans,18,2.5823063443139667,Queens,40.69444539,-73.75867604,239,1,0
262,St. George,37,3.1704926623780665,Staten Island,40.64498157,-74.07935313,1512,1,-1
263,Stapleton,28,3.1341624585866477,Staten Island,40.62692763,-74.07790193,356,1,0
264,Starrett City,10,2.3025850929940455,Brooklyn,40.64758905,-73.8793697,75,0,0
265,Steinway,25,3.0315905757832313,Queens,40.77592302,-73.90228959999997,40,1,0
266,Stuyvesant Town,18,2.4762206495981642,Manhattan,40.73099955,-73.9740517,94,1,0
267,Sunnyside,50,3.2760701300004973,Queens,40.74017628,-73.92691618,66,0,0
268,Sunnyside,50,3.2760701300004973,Staten Island,40.61276016,-74.09712552,39,0,0
269,Sunnyside Gardens,100,3.9221059579218265,Queens,40.74565181,-73.91819286,128,1,1
270,Sunset Park,37,3.01566489171176,Brooklyn,40.64510295,-74.01031619,630,0,0
271,Sutton Place,100,3.972436240643016,Manhattan,40.76028033,-73.96355614,567,1,1
272,Throgs Neck,10,2.3025850929940455,Bronx,40.81510926,-73.81635002,31,0,0
273,Todt Hill,1,0.0,Staten Island,40.59706852,-74.11132882,1,3,2
274,Tompkinsville,23,2.9546732123048156,Staten Island,40.63731607,-74.08055352,417,1,0
275,Tottenville,7,1.945910149055313,Staten Island,40.50533376,-74.24656934,20,1,0
276,Travis,14,2.2055983590263937,Staten Island,40.58631375,-74.19073718,22,1,0
277,Tribeca,82,3.751746357694107,Manhattan,40.72152197,-74.01068329,1166,1,-1
278,Tudor City,76,3.741292009164935,Manhattan,40.74691741,-73.97121929,183,1,0
279,Turtle Bay,100,3.9646770438132135,Manhattan,40.75204237,-73.96770825,253,1,1
280,Unionport,20,2.7877881193860072,Bronx,40.8297743,-73.85053524,143,1,0
281,University Heights,19,2.7985132569432944,Bronx,40.85572708,-73.91041596,552,0,0
282,Upper East Side,96,3.7645707434805247,Manhattan,40.77563857,-73.96050763,119,1,1
283,Upper West Side,84,3.879972012406157,Manhattan,40.787658,-73.97705924,662,1,1
284,Utopia,14,2.5400363038209806,Queens,40.73350025,-73.79671678,27,1,0
285,Van Nest,25,2.619729370157402,Bronx,40.84360847,-73.86629918,193,0,0
286,Vinegar Hill,26,2.788632205501092,Brooklyn,40.7033215,-73.98111604,117,1,0
287,Wakefield,9,2.0431918705451206,Bronx,40.89470518,-73.84720052,78,1,0
288,Washington Heights,83,3.8862493842734684,Manhattan,40.85190253,-73.93690028,1134,1,-1
289,Weeksville,15,2.615630577027551,Brooklyn,40.67503987,-73.93053109,1375,1,-1
290,West Brighton,41,3.3626893409734935,Staten Island,40.63187893,-74.10718178,44,1,0
291,West Farms,29,2.9463967732440532,Bronx,40.83947506,-73.87774475,326,1,0
292,West Village,100,3.765440871744641,Manhattan,40.73443394,-74.00617998,940,1,1
293,Westchester Square,35,3.223530831983023,Bronx,40.8406195,-73.84219408,194,1,0
294,Westerleigh,5,1.6094379124341005,Staten Island,40.62109047,-74.13304144,18,1,0
